1.1628068672336372e-58;1.7055850218092504e-58;2.7063195643240976e-59;9.208428428083259e-60;1.720753417916195e-58;1.2879224334967484e-58;7.638500815462843e-59;1.2200759217062141e-58;1.4378014969108701e-58;8.743318946065226e-59;5.558453997163499e-59;5.622917521529704e-59;2.9238257753544637e-59;4.1255407986845315e-59;1.1004407944815439e-58;8.649454172234324e-59
1.6197525520907147e-58;7.939041610323953e-59;4.383750942940437e-59;1.5735768435056904e-58;9.784919213624066e-59;1.5704184791930718e-58;1.6499463541053015e-58;1.228035283029516e-58;3.184850638691289e-59;5.297598263867096e-59;2.943445674158717e-60;5.461653190714163e-59;1.5978581803930716e-58;1.6873524719240895e-61;1.8138601825385725e-58;7.5009918300874805e-59
5.872336213533091e-60;1.0885604473621242e-58;1.0874561566827824e-58;9.691785117978822e-59;5.662383257349065e-59;2.43375643236356e-59;1.016807066799848e-58;1.2250398915698311e-59;3.0376866123775655e-59;2.02580399381869e-59;7.937618770684662e-59;2.6425866494273777e-60;5.229426676718996e-60;1.0383712845474372e-58;8.37802618503678e-59;3.4983887027192317e-59
9.490405117572248e-59;8.936941490101681e-59;1.1743748162535461e-59;3.7321436115589113e-59;5.878419409238535e-59;3.3676932945392997e-59;9.736142480460079e-59;3.127527159557451e-59;1.0812709976067705e-58;6.83610449004804e-59;7.479360126158194e-59;9.167198010323235e-59;5.314486634161746e-59;8.709625638066203e-59;1.7543239046199739e-59;8.929308849638362e-59
9.883227843961839e-59;1.682733999978614e-58;1.0038784059180247e-58;9.0267478015701e-59;1.1930382142855e-58;1.1526559311735203e-58;6.570626445164759e-59;1.148328183312938e-58;1.7356254853608485e-59;1.2089266424559188e-58;1.2672009106526129e-58;1.3537634017458492e-58;1.4960820066121544e-58;1.3028098467391237e-58;1.3013032197030034e-58;1.4738471680851717e-58
1.9548215439927775e-59;6.761165389532899e-60;8.999315459067692e-59;3.4779331381565325e-59;4.3178090465409586e-59;1.7050193930697359e-59;4.389269686846591e-59;3.877639862569737e-59;9.906961378729979e-59;3.0295086134730134e-59;1.0410387929768145e-58;4.827342606926068e-59;1.0647589552829275e-58;1.1676110398265451e-58;3.0864836087673956e-59;8.71588697939738e-59
2.0533050930233955e-58;3.637198323648953e-59;2.318557166408106e-59;1.1685045089352351e-58;1.0604079393566043e-58;9.551219809743172e-59;6.602249679730356e-59;4.113375314199662e-59;8.76382195542615e-59;1.1068925080245328e-58;1.6976042625698578e-59;1.1643797807342935e-59;9.914803228505445e-59;1.074436389041298e-58;1.2852210220132851e-58;1.2818863192765825e-58
1.2188279692391393e-58;5.376515319322425e-59;7.29613551757982e-59;7.165448797811437e-59;1.1035083041219597e-58;2.2046319863693036e-58;1.7308253282144607e-59;1.1959802987483387e-58;2.12769762878796e-58;2.0109070002527906e-58;5.691697195583088e-59;2.3985023520947228e-58;1.9950872703794634e-58;8.648534505292059e-59;1.8421584051472594e-58;2.9296367522305105e-59
1.5872875007307146e-58;2.142032432502096e-59;1.1325724062796528e-58;2.9595334413641277e-59;1.676877461872784e-58;1.0576126811267249e-58;9.496033949217477e-59;1.3402045436842158e-58;3.2041639565762586e-60;1.0538566562683392e-58;2.833140756643861e-59;1.6582777796486708e-59;1.6325146332886844e-58;1.654873287925716e-58;1.877895878106781e-59;1.7169315528392137e-58
1.4343395082249423e-58;4.635212996903192e-59;7.750265194490669e-59;3.7429178689162936e-59;4.543662410483054e-59;1.0708487724984399e-58;1.5368381355059754e-58;3.467472935102698e-60;8.23031049710806e-59;6.065235600277303e-59;1.3829285202139269e-58;1.036312700487602e-58;8.382811019999015e-59;1.0957229371847992e-58;4.617304482108496e-59;6.906681136017045e-59
6.921141138827432e-59;1.484985409533201e-58;1.154549322073879e-58;1.3007332444309461e-58;1.463457499401484e-58;3.705113016715923e-59;4.362002574852042e-60;8.903166624118848e-60;1.4519492139767007e-58;7.297268341252346e-60;8.672559011577931e-59;4.837701003985369e-59;3.8371523335284575e-60;1.0524062383533298e-59;1.1107912944414869e-58;1.6228479763811093e-58
8.447005571061069e-59;1.0788938090683915e-58;3.118286586209548e-58;1.6048207506732694e-58;2.9291590980099585e-58;3.2042039693365774e-58;2.9146066441129566e-58;3.0357059329314936e-58;2.0093165685664433e-58;1.4415569546684788e-58;1.8679135244784812e-58;2.4436338498264245e-58;2.789430158762391e-58;4.316693324717518e-59;7.258632681612048e-59;5.711927473756677e-59
7.231050774505524e-59;1.028444373160925e-59;7.363226708367548e-60;8.194798190820771e-59;6.573588830845981e-59;3.324174198140779e-59;1.1867334011500151e-58;4.543052870988203e-59;3.3548407536726384e-59;7.786506336916395e-59;1.2063931853397317e-58;1.263763999142975e-58;4.237941097884705e-59;4.153711053010954e-59;1.3110887046643096e-58;1.3483953184775369e-59
